ID,Mensagem,Classe,promocao,desconto,gratis,premio,oferta,ganhe,urgente,reuniao,projeto,relatorio,equipe,cliente,prazo,agenda,documento,acesso,conta
1,promocao promocao promocao promocao premio oferta oferta oferta reuniao reuniao,Spam,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
2,promocao desconto desconto premio ganhe ganhe urgente cliente acesso acesso,Spam,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0
3,desconto desconto premio premio relatorio equipe,Spam,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
4,promocao promocao promocao desconto desconto desconto desconto premio projeto relatorio relatorio prazo,Spam,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
5,promocao projeto relatorio conta,Spam,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
6,promocao urgente urgente cliente acesso,Spam,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
7,promocao desconto desconto desconto desconto gratis gratis oferta oferta oferta oferta urgente relatorio cliente,Spam,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0
8,promocao promocao promocao gratis gratis gratis reuniao reuniao equipe prazo acesso,Spam,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
9,desconto gratis gratis gratis gratis oferta oferta oferta relatorio relatorio,Spam,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
10,gratis ganhe reuniao,Spam,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
11,premio oferta conta,Spam,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
12,promocao promocao promocao promocao oferta oferta oferta oferta,Spam,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,desconto desconto premio,Spam,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,oferta oferta ganhe ganhe urgente equipe conta,Spam,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1
15,promocao cliente conta,Spam,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
16,promocao promocao premio premio cliente prazo conta,Spam,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
17,promocao desconto desconto oferta oferta equipe cliente,Spam,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
18,promocao promocao promocao promocao desconto desconto desconto desconto premio oferta ganhe ganhe ganhe urgente projeto projeto,Spam,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
19,promocao promocao promocao oferta oferta oferta ganhe ganhe ganhe ganhe,Spam,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
20,promocao promocao promocao promocao desconto agenda documento,Spam,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
21,promocao desconto desconto desconto premio ganhe ganhe ganhe reuniao conta conta,Spam,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
22,desconto desconto desconto desconto gratis gratis premio oferta ganhe ganhe documento documento acesso acesso,Spam,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0
23,desconto desconto equipe conta,Spam,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
24,promocao promocao desconto desconto desconto desconto oferta reuniao reuniao acesso,Spam,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
25,gratis gratis equipe equipe,Spam,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,desconto desconto gratis gratis gratis gratis oferta oferta oferta reuniao conta,Spam,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
27,premio oferta oferta conta conta,Spam,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
28,promocao desconto desconto desconto desconto premio oferta ganhe urgente acesso,Spam,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0
29,promocao desconto desconto gratis gratis ganhe ganhe ganhe reuniao reuniao relatorio,Spam,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
30,promocao promocao gratis reuniao prazo acesso acesso,Spam,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
31,premio reuniao acesso conta,Spam,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
32,promocao desconto desconto desconto desconto gratis gratis ganhe ganhe,Spam,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,promocao desconto desconto gratis oferta oferta ganhe ganhe reuniao projeto,Spam,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
34,promocao oferta oferta oferta urgente,Spam,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
35,promocao promocao gratis gratis gratis oferta oferta ganhe ganhe ganhe agenda agenda conta conta,Spam,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1
36,oferta ganhe ganhe ganhe urgente cliente cliente prazo,Spam,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0
37,oferta ganhe ganhe ganhe ganhe documento documento,Spam,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
38,premio,Spam,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,desconto gratis gratis gratis premio oferta oferta prazo,Spam,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
40,gratis gratis gratis premio premio oferta oferta ganhe ganhe ganhe ganhe projeto agenda acesso acesso,Spam,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0
41,promocao promocao desconto desconto gratis ganhe projeto cliente documento conta,Spam,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1
42,promocao desconto desconto desconto oferta oferta oferta ganhe reuniao relatorio,Spam,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
43,desconto desconto gratis gratis oferta oferta oferta oferta urgente urgente cliente acesso acesso,Spam,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
44,promocao desconto premio oferta oferta projeto,Spam,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
45,promocao promocao desconto premio oferta oferta ganhe ganhe documento conta,Spam,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1
46,desconto desconto desconto gratis oferta oferta oferta urgente urgente prazo prazo conta,Spam,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
47,urgente equipe acesso,Spam,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
48,projeto cliente documento,Spam,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
49,promocao promocao premio ganhe ganhe ganhe ganhe,Spam,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
50,desconto desconto premio oferta ganhe urgente documento,Spam,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0
51,promocao promocao desconto desconto desconto desconto gratis gratis gratis gratis urgente cliente cliente acesso,Spam,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
52,desconto desconto desconto gratis urgente urgente projeto projeto documento,Spam,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
53,desconto gratis gratis gratis premio premio oferta oferta,Spam,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
54,ganhe ganhe ganhe ganhe reuniao reuniao projeto documento,Spam,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0
55,desconto desconto oferta oferta oferta agenda acesso,Spam,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
56,desconto desconto desconto desconto ganhe ganhe ganhe urgente conta conta,Spam,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
57,desconto oferta oferta oferta oferta ganhe ganhe conta,Spam,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
58,promocao promocao promocao desconto desconto desconto desconto gratis gratis gratis projeto agenda conta,Spam,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
59,promocao promocao desconto desconto desconto gratis gratis premio oferta oferta urgente relatorio,Spam,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
60,desconto premio oferta ganhe cliente agenda agenda documento,Spam,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0
61,gratis gratis gratis premio premio oferta oferta oferta relatorio cliente cliente,Spam,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
62,desconto desconto premio premio urgente reuniao,Spam,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
63,promocao promocao promocao gratis gratis gratis,Spam,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,promocao gratis gratis gratis oferta oferta oferta oferta conta conta,Spam,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
65,promocao desconto premio premio oferta reuniao projeto conta,Spam,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1
66,promocao promocao gratis ganhe ganhe urgente relatorio relatorio conta,Spam,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1
67,promocao promocao promocao desconto desconto desconto premio oferta oferta oferta ganhe ganhe ganhe agenda agenda conta,Spam,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1
68,promocao promocao promocao desconto desconto desconto premio premio oferta oferta oferta oferta,Spam,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
69,promocao promocao desconto gratis gratis oferta oferta ganhe ganhe urgente acesso,Spam,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0
70,promocao promocao reuniao projeto prazo prazo documento,Spam,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
71,promocao promocao promocao gratis gratis oferta oferta ganhe,Spam,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
72,promocao promocao ganhe,Spam,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
73,promocao promocao desconto desconto gratis gratis gratis oferta ganhe ganhe,Spam,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
74,premio urgente reuniao reuniao prazo agenda agenda,Spam,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
75,gratis relatorio cliente documento,Spam,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
76,premio oferta oferta oferta oferta equipe equipe cliente cliente documento,Spam,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0
77,promocao promocao promocao promocao gratis gratis prazo prazo,Spam,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
78,desconto gratis oferta oferta oferta oferta reuniao reuniao prazo conta,Spam,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
79,promocao promocao promocao promocao oferta oferta urgente cliente cliente agenda agenda documento conta,Spam,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1
80,promocao desconto desconto desconto gratis gratis,Spam,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,gratis gratis oferta urgente projeto agenda conta,Spam,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1
82,promocao oferta oferta documento documento,Spam,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
83,oferta oferta ganhe ganhe ganhe projeto equipe cliente cliente,Spam,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
84,desconto gratis gratis gratis oferta ganhe ganhe ganhe ganhe urgente urgente acesso acesso,Spam,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0
85,promocao promocao promocao promocao urgente acesso,Spam,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
86,desconto desconto desconto ganhe ganhe ganhe cliente documento acesso,Spam,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
87,promocao promocao urgente cliente prazo acesso,Spam,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
88,promocao promocao premio urgente urgente reuniao prazo,Spam,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
89,oferta oferta oferta ganhe ganhe projeto cliente,Spam,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
90,promocao promocao promocao desconto gratis projeto equipe,Spam,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
91,gratis gratis oferta oferta urgente projeto,Spam,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
92,desconto desconto desconto oferta prazo prazo acesso,Spam,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
93,promocao gratis oferta oferta oferta ganhe ganhe urgente projeto prazo conta,Spam,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1
94,promocao promocao promocao gratis gratis gratis premio oferta oferta oferta oferta reuniao agenda agenda acesso,Spam,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0
95,promocao promocao desconto relatorio prazo prazo acesso,Spam,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
96,promocao oferta oferta reuniao prazo,Spam,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
97,promocao promocao desconto desconto desconto ganhe ganhe ganhe ganhe reuniao conta conta,Spam,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
98,desconto desconto premio premio cliente cliente documento,Spam,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
99,desconto desconto desconto gratis gratis gratis oferta oferta oferta ganhe ganhe prazo documento acesso,Spam,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0
100,projeto cliente,Spam,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
