ID,Horas_Estudo,Nota_Anterior,Faltas,Aprovado
1,5.5,7.0,9,Não
2,3.1,5.2,5,Não
3,6.4,6.2,6,Sim
4,6.7,7.3,4,Sim
5,1.5,5.2,9,Não
6,2.7,7.2,6,Não
7,5.2,7.1,5,Sim
8,4.4,7.4,9,Não
9,5.0,6.5,7,Não
10,3.5,5.2,11,Não
11,6.6,6.9,7,Sim
12,6.4,7.0,5,Sim
13,5.1,8.7,9,Não
14,7.0,7.2,5,Sim
15,5.8,8.0,7,Sim
16,3.5,5.5,7,Não
17,5.7,8.0,5,Sim
18,3.3,6.4,6,Sim
19,6.6,7.5,6,Sim
20,4.9,6.8,4,Não
21,4.7,6.2,8,Não
22,3.8,6.7,7,Não
23,7.2,7.6,6,Sim
24,4.7,5.8,8,Não
25,4.2,5.5,10,Não
26,4.4,6.8,8,Não
27,6.0,8.6,2,Sim
28,5.7,7.4,5,Sim
29,5.7,7.1,3,Sim
30,5.8,7.5,4,Sim
31,8.9,9.8,5,Sim
32,4.3,6.7,8,Sim
33,4.1,6.1,6,Não
34,3.5,7.1,5,Sim
35,6.1,7.8,5,Sim
36,7.0,9.1,2,Sim
37,4.8,7.0,5,Não
38,3.5,5.2,8,Não
39,3.5,5.1,10,Não
40,6.2,8.8,6,Sim
41,6.3,8.9,0,Sim
42,6.0,7.2,6,Sim
43,3.8,6.0,7,Não
44,5.4,8.3,6,Sim
45,5.2,6.1,9,Não
46,5.4,6.4,1,Sim
47,6.6,8.2,3,Sim
48,5.4,6.8,7,Não
49,6.2,7.5,2,Sim
50,5.1,6.8,9,Não
51,5.5,7.4,6,Sim
52,6.1,8.6,7,Sim
53,2.4,5.7,7,Não
54,4.4,7.1,8,Não
55,4.2,4.9,9,Não
56,3.9,6.3,8,Não
57,4.5,6.0,7,Sim
58,7.7,7.2,4,Sim
59,3.4,5.4,6,Não
60,6.7,7.4,4,Sim
61,2.0,6.2,9,Não
62,4.4,5.6,7,Não
63,5.3,7.1,8,Sim
64,6.1,7.0,3,Sim
65,6.3,7.3,4,Sim
66,6.4,8.4,8,Sim
67,4.4,7.0,5,Sim
68,4.2,7.6,5,Não
69,6.5,7.5,5,Sim
70,4.7,6.2,8,Sim
71,2.7,5.6,8,Não
72,3.0,6.1,11,Não
73,3.3,6.2,9,Não
74,5.9,6.5,7,Sim
75,5.3,7.1,7,Sim
76,6.2,7.7,9,Sim
77,4.2,8.5,6,Sim
78,5.3,8.5,2,Sim
79,6.1,6.7,8,Sim
80,4.4,6.4,6,Sim
81,5.8,6.1,5,Sim
82,3.8,5.9,10,Não
83,4.3,6.8,3,Sim
84,4.3,7.5,4,Sim
85,2.8,5.3,5,Não
86,5.9,6.8,4,Sim
87,4.2,4.8,8,Não
88,5.0,6.8,7,Sim
89,5.9,6.5,6,Não
90,5.8,6.9,2,Sim
91,6.2,6.8,0,Sim
92,4.8,6.7,6,Não
93,4.2,5.1,6,Não
94,4.9,5.7,7,Não
95,2.0,7.2,10,Não
96,2.4,4.6,9,Não
97,2.6,4.9,10,Não
98,3.2,7.5,8,Não
99,5.7,9.6,6,Sim
100,3.4,5.2,6,Não
101,4.3,6.3,6,Não
102,7.3,8.3,4,Sim
103,4.4,8.0,8,Sim
104,6.3,6.7,4,Sim
105,3.3,5.9,9,Não
106,4.6,7.3,6,Não
107,3.3,6.4,7,Não
108,4.4,6.3,8,Não
109,6.5,7.5,1,Sim
110,1.9,4.3,7,Não
111,5.8,7.1,2,Sim
112,5.4,6.9,1,Sim
113,3.9,6.6,6,Não
114,2.4,5.2,10,Não
115,5.1,7.3,5,Sim
116,4.0,7.2,7,Sim
117,5.4,7.2,8,Não
118,5.0,7.2,9,Não
119,7.9,8.3,3,Sim
120,4.6,6.7,9,Não
121,3.2,5.5,8,Não
122,5.3,7.3,4,Sim
123,5.4,7.0,4,Sim
124,7.4,9.7,1,Sim
125,6.5,8.9,3,Sim
126,5.6,7.5,5,Não
127,7.6,7.5,5,Sim
128,2.9,5.0,12,Não
129,3.8,7.3,4,Não
130,3.3,6.3,8,Não
131,4.3,6.9,5,Não
132,2.5,4.3,9,Não
133,6.1,8.2,5,Sim
134,4.6,7.1,3,Não
135,2.4,4.8,10,Não
136,3.2,5.7,7,Não
137,5.6,7.4,4,Sim
138,6.5,7.7,2,Sim
139,8.6,8.4,1,Sim
140,9.5,9.0,2,Sim
141,5.7,7.0,5,Não
142,3.2,6.2,8,Não
143,1.2,6.3,11,Não
144,5.5,5.1,8,Não
145,3.5,6.0,7,Não
146,4.3,6.7,4,Não
147,3.9,6.6,9,Não
148,4.7,6.5,6,Sim
149,6.9,6.4,6,Sim
150,5.3,7.3,6,Não
